country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days
area7,2019-12-31,1,1,1.0,0.0
area7,2020-01-01,2,1,1.0,0.0
area7,2020-01-02,1,-1,0.3333333333333333,-66.66666666666667
area7,2020-01-03,4,3,1.0,200.0
area7,2020-01-04,4,0,0.8,-19.999999999999996
area7,2020-01-05,2,-2,0.3333333333333333,-58.333333333333336
area7,2020-01-06,1,-1,0.14285714285714285,-57.14285714285714
area7,2020-01-07,7,6,0.8571428571428571,500.0
area7,2020-01-08,6,-1,0.5714285714285714,-33.333333333333336
area7,2020-01-09,3,-3,0.2857142857142857,-50.0
area7,2020-01-10,8,5,0.5714285714285714,100.0
area7,2020-01-11,6,-2,0.2857142857142857,-50.0
area7,2020-01-12,11,5,1.2857142857142858,350.0000000000001
area7,2020-01-13,9,-2,1.1428571428571428,-11.111111111111127
area7,2020-01-14,11,2,0.5714285714285714,-50.0
area7,2020-01-15,16,5,1.4285714285714286,150.0
area7,2020-01-16,16,0,1.8571428571428572,30.000000000000004
area7,2020-01-17,17,1,1.2857142857142858,-30.76923076923077
area7,2020-01-18,37,20,4.428571428571429,244.44444444444443
area7,2020-01-19,36,-1,3.5714285714285716,-19.354838709677423
area7,2020-01-20,39,3,4.285714285714286,19.999999999999996
area7,2020-01-21,44,5,4.714285714285714,10.000000000000009
area7,2020-01-22,60,16,6.285714285714286,33.33333333333333
area7,2020-01-23,62,2,6.571428571428571,4.545454545454541
area7,2020-01-24,71,9,7.714285714285714,17.391304347826097
area7,2020-01-25,60,-11,3.2857142857142856,-57.407407407407405
area7,2020-01-26,75,15,5.571428571428571,69.56521739130434
area7,2020-01-27,51,-24,1.7142857142857142,-69.23076923076923
area7,2020-01-28,73,22,4.142857142857143,141.66666666666669
area7,2020-01-29,56,-17,-0.5714285714285714,-113.79310344827587
area7,2020-01-30,49,-7,-1.8571428571428572,225.00000000000006
area7,2020-01-31,65,16,-0.8571428571428571,-53.846153846153854
area7,2020-02-01,47,-18,-1.8571428571428572,116.6666666666667
area7,2020-02-02,32,-15,-6.142857142857143,230.7692307692308
area7,2020-02-03,33,1,-2.5714285714285716,-58.13953488372092
area7,2020-02-04,25,-8,-6.857142857142857,166.66666666666666
area7,2020-02-05,21,-4,-5.0,-27.083333333333325
area7,2020-02-06,16,-5,-4.714285714285714,-5.714285714285716
area7,2020-02-07,13,-3,-7.428571428571429,57.57575757575757
area7,2020-02-08,11,-2,-5.142857142857143,-30.76923076923077
area7,2020-02-09,11,0,-3.0,-41.66666666666667
area7,2020-02-10,3,-8,-4.285714285714286,42.85714285714286
area7,2020-02-11,3,0,-3.142857142857143,-26.66666666666666
area7,2020-02-12,1,-2,-2.857142857142857,-9.090909090909083
area7,2020-02-13,3,2,-1.8571428571428572,-35.0
area7,2020-02-14,2,-1,-1.5714285714285714,-15.384615384615385
area7,2020-02-15,0,-2,-1.5714285714285714,0.0
area7,2020-02-16,0,0,-1.5714285714285714,0.0
area7,2020-02-17,0,0,-0.42857142857142855,-72.72727272727273
area7,2020-02-18,0,0,-0.42857142857142855,0.0
area7,2020-02-19,1,1,0.0,-100.0
area7,2020-02-20,0,-1,-0.42857142857142855,0.0
area7,2020-02-21,1,1,-0.14285714285714285,-66.66666666666667
area7,2020-02-22,0,-1,0.0,-100.0
area7,2020-02-23,0,0,0.0,0.0
area7,2020-02-24,0,0,0.0,0.0
area7,2020-02-25,0,0,0.0,0.0
area7,2020-02-26,0,0,-0.14285714285714285,0.0
area7,2020-02-27,0,0,0.0,-100.0
area7,2020-02-28,0,0,-0.14285714285714285,0.0
area7,2020-02-29,0,0,0.0,-100.0
area7,2020-03-01,0,0,0.0,0.0
area7,2020-03-02,0,0,0.0,0.0
area7,2020-03-03,0,0,0.0,0.0
area7,2020-03-04,0,0,0.0,0.0
area7,2020-03-05,0,0,0.0,0.0
area7,2020-03-06,0,0,0.0,0.0
area7,2020-03-07,0,0,0.0,0.0
area7,2020-03-08,0,0,0.0,0.0
area7,2020-03-09,0,0,0.0,0.0
area7,2020-03-10,0,0,0.0,0.0
